POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,Year
RTG,VWRS(+ Stream),GAME,BOWL,DATE/TIME,NET,,,,,,,,,,,,,,,,,2017
15.6,(28.443M),"Alabama
Georgia",CFPNC,"Jan. 8, 8:00 PM","ESPN,ESPN2,ESPNU",,,,,,,,,,,,,,,,,2017
13.7,(26.913M),GeorgiaOklahoma,Rose (Semi),"Jan. 1, 5:00 PM",ESPN &ESPN2,,,,,,,,,,,,,,,,,2017
11.4,(21.473M),AlabamaClemson,Sugar (Semi),"Jan. 1, 9:00 PM",ESPN &ESPN2,,,,,,,,,,,,,,,,,2017
6.3,(11.727M),WisconsinMiami,Orange,"Dec. 30, 8:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
5.7,(10.167M),Penn StateWashington,Fiesta,"Dec. 30, 4:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
5.3,(9.468M),Ohio StateUSC,Cotton,"Dec. 29, 8:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
5.1,(8.713M),Notre DameLSU,Citrus,"Jan. 1, 1:00 PM",ABC,,,,,,,,,,,,,,,,,2017
4.6,(8.377M),UCFAuburn,Peach,"Jan. 1, 12:30 PM",ESPN,,,,,,,,,,,,,,,,,2017
2.8,(5.050M),So. CarolinaMichigan,Outback,"Jan. 1, Noon",ESPN2,,,,,,,,,,,,,,,,,2017
2.8,(4.626M),NorthwesternKentucky,Music City,"Dec. 29, 5:15 PM",ESPN,,,,,,,,,,,,,,,,,2017
2.7,(4.424M),Miss. St.Louisville,Gator,"Dec. 30, Noon",ESPN,,,,,,,,,,,,,,,,,2017
2.5,(4.368M),TCUStanford,Alamo,"Dec. 28, 9:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
2.6,(4.358M),Oklahoma St.Va. Tech,Orlando,"Dec. 28, 5:15 PM",ESPN,,,,,,,,,,,,,,,,,2017
2.3,(4.008M),IowaBost. College,Pinstripe,"Dec. 27, 5:15 PM",ESPN,,,,,,,,,,,,,,,,,2017
2.2,3.438M,Iowa St.Memphis,Liberty,"Dec. 30, 12:30 PM",ABC,,,,,,,,,,,,,,,,,2017
2.1,(3.455M),TexasMissouri,Texas,"Dec. 27, 9:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
2.3,3.801M,Boise St.Oregon,Las Vegas,"Dec. 16, 3:30 PM",ABC,,,,,,,,,,,,,,,,,2017
2.1,(3.485M),ArmySDSU,Armed Forces,Dec. 23. 4:00 PM,ESPN,,,,,,,,,,,,,,,,,2017
2.15,(3.397M),USFTexas Tech,Birmingham,"Dec. 23, Noon",ESPN,,,,,,,,,,,,,,,,,2017
n.a.,(3.261M),K-StateUCLA,Cactus,"Dec. 26, 9:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
n.a.,(2.957M),Wake ForestTexas A&M,Belk,"Dec. 29, 1:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
1.7,2.826M,PurdueArizona,San Fran.,"Dec. 27, 8:30 PM",FOX,,,,,,,,,,,,,,,,,2017
n.a.,(2.526M),DukeNo. Illinois,Detroit,"Dec. 26, 5:15 PM",ESPN,,,,,,,,,,,,,,,,,2017
1.6,2.357M,N.C. A&TGrambling,Celebration,"Dec. 16, Noon",ABC,,,,,,,,,,,,,,,,,2017
n.a.,(2.205M),FSUSo. Miss.,Independence,"Dec. 27, 1:30 PM",ESPN,,,,,,,,,,,,,,,,,2017
1.5,2.205M,N.C. StateArizona St.,Sun,"Dec. 29, 3:15 PM",CBS,,,,,,,,,,,,,,,,,2017
n.a.,(2.204M),UtahW. Virginia,Heart ofDallas,"Dec. 26, 1:30 PM",ESPN,,,,,,,,,,,,,,,,,2017
1.1,(2.086M),Fresno St.Houston,Hawaii,"Dec. 24, 8:30 PM",ESPN,,,,,,,,,,,,,,,,,2017
n.a.,(2.052M),NavyVirginia,Military,"Dec. 28, 1:30 PM",ESPN,,,,,,,,,,,,,,,,,2017
1.0,(1.770M),App. StateToledo,Mobile,"Dec. 23, 7:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
n.a.,1.613M,Michigan St.Wash. St.,Holiday,"Dec. 28, 9:00 PM",FS1,,,,,,,,,,,,,,,,,2017
1.0,(1.597M),TempleFIU,St. Pete,"Dec. 21, 8:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
1.0,(1.515M),NDSUJMU,FCS Champ.,"Jan. 6, Noon",ESPN2,,,,,,,,,,,,,,,,,2017
n.a.,(1.394M),FAUAkron,Boca Raton,"Dec. 19, 7:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
0.9,(1.327M),TroyN. Texas,New Orleans,"Dec. 16, 1:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
n.a.,(1.250M),La. TechSMU,Frisco,"Dec. 20, 8:00 PM",ESPN,,,,,,,,,,,,,,,,,2017
0.75,(1.212M),MarshallColorado St.,New Mexico,"Dec. 16, 4:50 PM",ESPN,,,,,,,,,,,,,,,,,2017
0.7,(1.187M),Mid. Tenn. St.Ark. State,Camellia,"Dec. 16, 8:30 PM",ESPN,,,,,,,,,,,,,,,,,2017
0.36,(626K),Tex. A&M-Comm.W. Florida,Div IIChamp.,"Dec. 16, 6:00 PM",ESPN2,,,,,,,,,,,,,,,,,2017
,,,,,,Highest Rated,Highest Rated,Highest Rated,Highest Rated,Highest Rated,Most-Watched,Most-Watched,Most-Watched,Most-Watched,Most-Watched,,,,,,,2017
,,,,,,#,Date,Game,Net,Rtg.,#,Date,Game,Net,Vwrs.,,,,,,,2017
,,,,,,1,12/2,UGA-AUB,CBS,8.0,1,11/25,ALA-AUB,CBS,13.66M,,,,,,,2017
,,,,,,2,11/25,ALA-AUB,CBS,7.6,2,12/2,UGA-AUB,CBS,13.47M,,,,,,,2017
,,,,,,3,12/2,OSU-WISC,FOX,7.3,3,12/2,OSU-WISC,FOX,12.92M,,,,,,,2017
,,,,,,4,9/2,ALA-FSU,ABC,6.9,4,9/2,ALA-FSU,ABC,12.34M,,,,,,,2017
,,,,,,5,11/25,OSU-MICH,FOX,6.1,5,11/25,OSU-MICH,FOX,10.51M,,,,,,,2017
,,,,,,6,10/28,PSU-OSU,FOX,5.8,6,10/28,PSU-OSU,FOX,9.87M,,,,,,,2017
,,,,,,7,12/9,ARMY-NAVY,CBS,5.2,7,12/9,ARMY-NAVY,CBS,8.42M,,,,,,,2017
,,,,,,8,9/2,MICH-UF,ABC,4.9,8,9/9,OU-OSU,ABC,8.08M,,,,,,,2017
,,,,,,9,9/9,OU-OSU,ABC,4.6,9,9/2,MICH-UF,ABC,7.65M,,,,,,,2017
,,,,,,10,11/11,UGA-AUB,CBS,4.4,10,11/11,UGA-AUB,CBS,7.41M,,,,,,,2017
,,,,,,,,,,,,,,,,RTG,VWRS(+ Stream),GAME,CONF,DATE/TIME,NET,2017
,,,,,,,,,,,,,,,,WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,WEEK FIFTEEN,2017
,,,,,,,,,,,,,,,,5.2,8.419M,ArmyNavy,Ind.American,"Dec. 8, 3:00 PM",CBS,2017
,,,,,,,,,,,,,,,,1.3,2.175M,Heisman Presentation,Heisman Presentation,"Dec. 8, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(1.063M),College GamedayFrom Army-Navy,College GamedayFrom Army-Navy,"Dec. 8, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,WEEK FOURTEEN,2017
