Date_Time,Game,Network,Rating,Plus_minus,Viewership,Plus_minus_two,Year
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2020
"1/1, 8:00p",Sugar: OSU-CLEM*,ESPN Mega,9.8,-12%,19.15M,-9%,2020
"1/1, 4:00p",Rose: ND-ALA*,ESPN Mega,9.6,+1%,18.89M,+10%,2020
"1/11, 8:00p",CFPNC: ALA-OSU,ESPN Mega,still to come,still to come,18.65M,-27%,2020
"1/1, Noon",Peach: UGA-CIN**,ESPN Mega,4.9,-2%,8.73M,+4%,2020
"1/2, 8:00p",Orange: T A&M-UNC,ESPN,4.3,+23%,7.58M,+25%,2020
"1/2, 4:00p",Fiesta: IA ST-ORE**,ESPN,3.8,-19%,6.68M,-21%,2020
"12/30, 8:00p",Cotton: OKLA-UF,ESPN,3.2,-16%,5.77M,-7%,2020
"1/1, 1:00p",Citrus: AUB-NWSTN,ABC,2.8,-65%,4.78M,-66%,2020
"1/2, 12:30p",Outback: MISS-IND,ABC,2.5,+4%,4.11M,+3%,2020
"12/31, 4:00p",Liberty: ARMY-WVU,ESPN,2.2,+5%,3.74M,+12%,2020
"12/29, 5:30p",Orlando: OK ST-MIA,ESPN,1.8,-32%,3.20M,-23%,2020
"12/29, 9:00p",Alamo: COL-TEX,ESPN,1.7,-45%,2.98M,-47%,2020
"1/2, Noon",Gator: UK-NC ST,ESPN,1.7,-35%,2.71M,-37%,2020
"12/26, 7:30p",Cure: LBTY-CCU,ESPN,1.4,—,2.62M,—,2020
"12/31, Noon",Armed Forces: MSST-TULSA,ESPN,1.4,+17%,2.25M,+29%,2020
"12/25, 2:30p",Camellia: MARSH-BUF,ESPN,1.1,+156%,2.11M,+205%,2020
"12/26, 3:30p",1st Responder: UTSA-LA,ABC,1.2,+33%,2.08M,+61%,2020
"12/30, Noon",Charlotte: WAKE-WISC,ESPN,1.2,-29%,1.98M,-25%,2020
"12/24, 3:30p",New Mexico: HAW-HOU,ESPN,1.1,+124%,1.90M,+137%,2020
"12/31, 2:00p",Arizona: BALL-SJSU,CBS,1.1,—,1.77M,—,2020
"12/22, 7:00p",Boca Raton: UCF-BYU,ESPN,0.9,-31%,1.55M,-22%,2020
"12/23, 7:00p",Montgomery: MEM-FAU,ESPN,0.7,—,1.27M,—,2020
"12/23, 3:00p",New Orleans: LT-GA SO,ESPN,0.6,-7%,923K,-4%,2020
"12/26, 3:30p",Mobile: WKU-GA ST,ESPN,0.6,-38%,923K,-36%,2020
"12/22, 3:30p",Idaho Potato: TULANE-NEV,ESPN,0.6,-36%,914K,-33%,2020
"12/21, 2:30p",Myrtle Beach: N TEX-APP ST,ESPN,0.40,—,637K,—,2020
Date/time,Game,Net,Rtg.,+/-,Vwrs.,+/-,2020
"12/19, 4:00p",CLEM-ND,ABC,5.5,+129%,9.92M,+150%,2020
"12/19, 8:00p",ALA-UF,CBS,4.9,-38%,8.92M,-35%,2020
"12/19, Noon",OSU-NWSTN,FOX,4.65,-39%,8.03M,-41%,2020
"12/18, 3.85M",ORE-USC,FOX,2.25,-36%,3.85M,-34%,2020
"12/19, Noon",OKLA-IA ST,ABC,1.8,-67%,2.99M,-66%,2020
"12/19, 8:00p",CIN-TULSA,ABC,1.15,-39%,1.88M,-35%,2020
"12/19, Noon",T A&M-TENN,ESPN,1.0,+108%,1.66M,+129%,2020
"12/19, 4:30p",SJSU-BOISE ST,FOX,0.9,+143%,1.42M,+158%,2020
"12/18, 7:00p",BALL-BUFF,ESPN,0.49,+104%,875K,+144%,2020
"12/19, 5:30p",ILL-PSU,FS1,0.37,—,739K,—,2020
"12/18, 7:30p",NEB-RUTG,BTN,not available,not available,610K,—,2020
"12/19, 7:00p",STAN-UCLA,ESPN,0.34,—,596K,—,2020
"12/19, 11:00p",ASU-OSU,ESPN,0.33,—,543K,—,2020
"12/19, 1:30p",WASH ST-UTA,FS1,0.17,—,302K,—,2020
Date/time,Game,Net,Rtg.,Vwrs.,,,2020
"12/12, 3:00p",Army-Navy,CBS,n.a.,4.91M,,,2020
"12/12, 7:00p",LSU-UF,ESPN,n.a.,4.62M,,,2020
"12/12, 3:30p",UNC-MIA,ABC,n.a.,3.33M,,,2020
"12/12, 7:30p",USC-UCLA,ABC,n.a.,3.24M,,,2020
"12/12, Noon",ALA-ARK,ESPN,n.a.,2.59M,,,2020
"12/12, Noon",MSU-PSU,ABC,n.a.,2.54M,,,2020
"12/12, 3:30p",WISC-IOWA,FS1,n.a.,1.80M,,,2020
"12/12, Noon",UTA-COL,FOX,n.a.,1.70M,,,2020
"12/12, Noon",MINN-NEB,FS1,n.a.,1.05M,,,2020
"12/12, 3:30p",OK ST-BYLR,ESPN,n.a.,1.03M,,,2020
"12/11, 7:00p",ASU-ARIZ,ESPN,n.a.,1.02M,,,2020
"12/12, Noon",ILL-NWSTN,ESPN2,n.a.,617K,,,2020
"12/12, 10:00p",SDSU-BYU,ESPN2,n.a.,606K,,,2020
"12/12, 10:30p",STAN-ORE ST,ESPNU,n.a.,332K,,,2020
"12/12, 7:00p",LA TECH-TCU,FS1,n.a.,290K,,,2020
"12/12, 3:30p",HOU-MEM,ESPN2,n.a.,239K,,,2020
"12/12, 10:30p",FRES ST-NM,FS1,n.a.,194K,,,2020
"12/12, Noon",RUTG-MD,BTN,not available,not available,,,2020
Date/time,Game,Net,Rtg.,Vwrs.,,,2020
"12/5, 8:00p",ALA-LSU,CBS,2.3,4.22M,,,2020
"12/5, 12:00p",OSU-MSU,ABC,2.5,4.11M,,,2020
"12/5, 3:30p",IU-WISC,ABC,2.3,3.82M,,,2020
"12/5, 3:30p",UF-TEN,CBS,2.0,3.42M,,,2020
"12/5, 7:30p",CLEM-VT,ABC,1.9,3.38M,,,2020
"12/5, 2:30p",SYR-ND,NBC,1.7,2.84M,,,2020
"12/5, 12:00p",T A&M-AUB,ESPN,1.7,2.80M,,,2020
"12/5, 8:00p",BYLR-OKLA,FOX,1.1,1.83M,,,2020
"12/5, 12:00p",TEX-K ST,FOX,0.9,1.45M,,,2020
"12/5, 4:00p",STAN-WASH,FOX,0.8,1.30M,,,2020
"12/5, 3:30p",WVU-IA ST,ESPN,0.7,1.22M,,,2020
"12/5, 5:30p",BYU-C CAR,ESPNU,n.a.,1.21M,,,2020
"12/4, 8:30p",LOU-APP ST,ESPN,0.6,1.01M,,,2020
"12/5, 7:00p",ORE-CAL,ESPN,0.6,1.01M,,,2020
"12/5, 3:30p",IOWA-ILL,FS1,0.5,781K,,,2020
"12/5, 10:30p",ORE ST-UTAH,ESPN,0.4,702K,,,2020
"12/5, 12:00p",OK ST-TCU,ESPN2,0.4,642K,,,2020
"12/5, 12:00p",NEB-PUR,BTN,n.a.,633K,,,2020
"12/5, 12:00p",PSU-RUTG,FS1,0.4,594K,,,2020
"12/5, 10:30p",UCLA-ASU,FS1,0.3,428K,,,2020
"12/5, 3:30p",TULS-NAV,ESPN2,0.2,424K,,,2020
"12/6, 7:30p",WASH ST-USC,FS1,0.2,405K,,,2020
"12/5, 7:00p",COL-ARIZ,FS1,0.2,364K,,,2020
"12/5, 12:00p",KU-TTU,FS2,not available,not available,,,2020
