Rtg.,Vwrs.,Game,Conf.,Time,Net,Away,Home,Notes
BOWL WEEK 5,BOWL WEEK 5,BOWL WEEK 5,BOWL WEEK 5,BOWL WEEK 5,BOWL WEEK 5,,,
"Saturday, January 7","Saturday, January 7","Saturday, January 7","Saturday, January 7","Saturday, January 7","Saturday, January 7",,,
0.9,1.562M,J. MadisonYoungstwn St.,FCS Champ.,12:00 PM,ESPN2,,,
"Monday, January 9","Monday, January 9","Monday, January 9","Monday, January 9","Monday, January 9","Monday, January 9",,,
14.2,25.266M,ClemsonAlabama,CFP Champ.,8:19 PM,ESPN Megacast,,,
"Numbers from ShowBuzz Daily, Sports TV Ratings, ESPN","Numbers from ShowBuzz Daily, Sports TV Ratings, ESPN","Numbers from ShowBuzz Daily, Sports TV Ratings, ESPN","Numbers from ShowBuzz Daily, Sports TV Ratings, ESPN","Numbers from ShowBuzz Daily, Sports TV Ratings, ESPN","Numbers from ShowBuzz Daily, Sports TV Ratings, ESPN",,,
BOWL WEEK 4,BOWL WEEK 4,BOWL WEEK 4,BOWL WEEK 4,BOWL WEEK 4,BOWL WEEK 4,,,
"Monday, January 2","Monday, January 2","Monday, January 2","Monday, January 2","Monday, January 2","Monday, January 2",,,
8.6,15.740M,USCPenn State,Rose Bowl,5:13 PM,ESPN,,,
5.6,9.515M,OklahomaAuburn,Sugar Bowl,9:29 PM,ESPN,,,
3.6,6.106M,FloridaIowa,Outback Bowl,1:00 PM,ABC,,,
3.1,5.442M,WisconsinW. Michigan,Cotton Bowl,1:02 PM,ESPN,,,
"Numbers from ShowBuzz Daily, Austin Karp/Sports Business Daily","Numbers from ShowBuzz Daily, Austin Karp/Sports Business Daily","Numbers from ShowBuzz Daily, Austin Karp/Sports Business Daily","Numbers from ShowBuzz Daily, Austin Karp/Sports Business Daily","Numbers from ShowBuzz Daily, Austin Karp/Sports Business Daily","Numbers from ShowBuzz Daily, Austin Karp/Sports Business Daily",,,
BOWL WEEK 3,BOWL WEEK 3,BOWL WEEK 3,BOWL WEEK 3,BOWL WEEK 3,BOWL WEEK 3,,,
"Monday, December 26","Monday, December 26","Monday, December 26","Monday, December 26","Monday, December 26","Monday, December 26",,,
—,3.019M,Boston Coll.Maryland,Detroit Bowl,2:32 PM,ESPN,,,
—,2.045M,Miss. St.Miami (OH),St. Pete Bowl,11:00 AM,ESPN,,,
—,1.270M,N.C. StateVanderbilt,Indpndnc. Bowl,5:00 PM,ESPN2,,,
"Tuesday, December 27","Tuesday, December 27","Tuesday, December 27","Tuesday, December 27","Tuesday, December 27","Tuesday, December 27",,,
2.4,4.046M,MinnesotaWash. St.,Holiday Bowl,7:30 PM,ESPN,,,
—,2.282M,BaylorBoise. St.,Cactus Bowl,10:48 PM,ESPN,,,
—,2.100M,Wake ForestTemple,Military Bowl,3:36 PM,ESPN,,,
—,1.615M,ArmyNorth Texas,Dallas Bowl,12:00 PM,ESPN,,,
"Wednesday, December 28","Wednesday, December 28","Wednesday, December 28","Wednesday, December 28","Wednesday, December 28","Wednesday, December 28",,,
2.5,4.252M,MiamiW. Virginia,Russ. Ath. Bowl,5:39 PM,ESPN,,,
2.2,3.791M,K-StateTexas A&M,Texas Bowl,9:05 PM,ESPN,,,
1.6,2.628M,UtahIndiana,San Fran. Bowl,8:40 PM,FOX,,,
