Team,W.L,FPI,RK,Year
,,,,
Clemson Tigers,10-2,26.9,3,2020
Notre Dame Fighting Irish,10-2,19.3,7,2020
Miami Hurricanes,8-3,10.2,25,2020
North Carolina Tar Heels,8-4,10.2,26,2020
Virginia Tech Hokies,5-6,7.3,32,2020
Louisville Cardinals,4-7,6.2,38,2020
Pittsburgh Panthers,6-5,5.5,41,2020
Wake Forest Demon Deacons,4-5,5.0,43,2020
Boston College Eagles,6-5,2.9,54,2020
Virginia Cavaliers,5-5,2.6,57,2020
NC State Wolfpack,8-4,1.5,62,2020
Florida State Seminoles,3-6,-3.8,88,2020
Georgia Tech Yellow Jackets,3-7,-4.7,90,2020
Duke Blue Devils,2-9,-7.3,99,2020
Syracuse Orange,1-10,-8.5,104,2020
Clemson Tigers,14-1,31.5,2,2019
North Carolina Tar Heels,7-6,8.4,27,2019
Virginia Cavaliers,9-5,6.6,42,2019
Miami Hurricanes,6-7,5.4,45,2019
Virginia Tech Hokies,8-5,4.5,48,2019
Florida State Seminoles,6-7,4.0,51,2019
Wake Forest Demon Deacons,8-5,2.9,53,2019
Louisville Cardinals,8-5,2.5,54,2019
Pittsburgh Panthers,8-5,0.3,61,2019
Duke Blue Devils,5-7,-0.3,64,2019
Boston College Eagles,6-7,-1.5,69,2019
Syracuse Orange,5-7,-1.6,71,2019
NC State Wolfpack,4-8,-7.1,92,2019
Georgia Tech Yellow Jackets,3-9,-10.8,110,2019
Clemson Tigers,15-0,32.7,1,2018
Miami Hurricanes,7-6,11.2,27,2018
Syracuse Orange,10-3,10.8,28,2018
NC State Wolfpack,9-4,9.7,33,2018
Boston College Eagles,7-5,7.9,36,2018
Georgia Tech Yellow Jackets,7-6,6.9,39,2018
Virginia Cavaliers,8-5,6.4,42,2018
Duke Blue Devils,8-5,6.4,43,2018
Pittsburgh Panthers,7-7,4.8,49,2018
Virginia Tech Hokies,6-7,3.4,55,2018
Wake Forest Demon Deacons,7-6,2.7,59,2018
Florida State Seminoles,5-7,0.9,67,2018
North Carolina Tar Heels,2-9,-2.6,77,2018
Louisville Cardinals,2-10,-11.9,103,2018
Clemson Tigers,12-2,24.2,5,2017
Miami Hurricanes,10-3,13.5,17,2017
Virginia Tech Hokies,9-4,13.4,18,2017
Florida State Seminoles,7-6,13.3,20,2017
NC State Wolfpack,9-4,13.1,21,2017
Louisville Cardinals,8-5,13.0,22,2017
Wake Forest Demon Deacons,8-5,8.9,31,2017
Georgia Tech Yellow Jackets,5-6,7.6,33,2017
Boston College Eagles,7-6,7.2,35,2017
Duke Blue Devils,7-6,6.6,37,2017
Pittsburgh Panthers,5-7,1.8,57,2017
North Carolina Tar Heels,3-9,0.9,62,2017
Syracuse Orange,4-8,0.7,64,2017
Virginia Cavaliers,6-7,-3.3,75,2017
Clemson Tigers,14-1,27.6,2,2016
Florida State Seminoles,10-3,22.2,8,2016
Louisville Cardinals,9-4,21.6,9,2016
Miami Hurricanes,9-4,17.2,14,2016
North Carolina Tar Heels,8-5,14.0,21,2016
Virginia Tech Hokies,10-4,13.7,23,2016
Pittsburgh Panthers,8-5,12.7,25,2016
NC State Wolfpack,7-6,8.9,37,2016
Georgia Tech Yellow Jackets,9-4,7.4,46,2016
Wake Forest Demon Deacons,7-6,2.2,63,2016
Duke Blue Devils,4-8,1.6,65,2016
Boston College Eagles,7-6,-1.1,75,2016
Syracuse Orange,4-8,-2.7,81,2016
Virginia Cavaliers,2-10,-4.2,84,2016
Clemson Tigers,14-1,22.3,5,2015
Florida State Seminoles,10-3,18.0,13,2015
North Carolina Tar Heels,11-3,17.0,16,2015
Louisville Cardinals,8-5,10.3,35,2015
Georgia Tech Yellow Jackets,3-9,10.2,36,2015
Virginia Tech Hokies,7-6,9.5,38,2015
NC State Wolfpack,7-6,8.8,41,2015
Pittsburgh Panthers,8-5,8.4,45,2015
Miami Hurricanes,8-5,6.4,52,2015
Duke Blue Devils,8-5,5.1,61,2015
Virginia Cavaliers,4-8,2.1,70,2015
Boston College Eagles,3-9,1.5,75,2015
Syracuse Orange,4-8,0.1,80,2015
Wake Forest Demon Deacons,3-9,-3.4,86,2015
Florida State Seminoles,13-1,19.0,14,2014
Clemson Tigers,10-3,16.5,20,2014
Georgia Tech Yellow Jackets,11-3,16.0,21,2014
Louisville Cardinals,9-4,11.0,35,2014
Miami Hurricanes,6-7,10.8,36,2014
Virginia Tech Hokies,7-6,7.9,41,2014
Duke Blue Devils,9-4,7.7,42,2014
Pittsburgh Panthers,6-7,7.2,45,2014
Virginia Cavaliers,5-7,6.9,46,2014
Boston College Eagles,7-6,6.0,51,2014
North Carolina Tar Heels,6-7,4.4,57,2014
NC State Wolfpack,8-5,3.9,58,2014
Syracuse Orange,3-9,-0.8,73,2014
Wake Forest Demon Deacons,3-9,-10.4,104,2014
Florida State Seminoles,14-0,33.2,1,2013
Clemson Tigers,11-2,20.0,11,2013
Georgia Tech Yellow Jackets,7-6,12.4,29,2013
