Team,W.L,FPI,RK,Year
,,,,
Ohio State Buckeyes,7-1,27.6,2,2020
Wisconsin Badgers,4-3,18.1,9,2020
Iowa Hawkeyes,6-2,17.0,12,2020
Indiana Hoosiers,6-2,14.3,16,2020
Northwestern Wildcats,7-2,12.8,20,2020
Penn State Nittany Lions,4-5,11.9,24,2020
Minnesota Golden Gophers,3-4,5.4,42,2020
Nebraska Cornhuskers,3-5,4.9,44,2020
Michigan Wolverines,2-4,4.5,48,2020
Purdue Boilermakers,2-4,3.8,50,2020
Rutgers Scarlet Knights,3-6,-0.3,72,2020
Maryland Terrapins,2-3,-1.6,78,2020
Illinois Fighting Illini,2-6,-2.3,81,2020
Michigan State Spartans,2-5,-2.9,83,2020
Ohio State Buckeyes,13-1,33.7,1,2019
Penn State Nittany Lions,11-2,21.5,7,2019
Wisconsin Badgers,10-4,21.3,8,2019
Michigan Wolverines,9-4,20.0,12,2019
Iowa Hawkeyes,10-3,14.9,15,2019
Minnesota Golden Gophers,11-2,13.8,18,2019
Michigan State Spartans,7-6,7.7,35,2019
Indiana Hoosiers,8-5,7.5,36,2019
Nebraska Cornhuskers,5-7,4.5,47,2019
Purdue Boilermakers,4-8,0.0,63,2019
Illinois Fighting Illini,6-7,-0.6,65,2019
Northwestern Wildcats,3-9,-2.6,73,2019
Maryland Terrapins,3-9,-5.6,89,2019
Rutgers Scarlet Knights,2-10,-15.2,118,2019
Ohio State Buckeyes,13-1,21.6,4,2018
Michigan Wolverines,10-3,20.1,6,2018
Penn State Nittany Lions,9-4,18.5,8,2018
Iowa Hawkeyes,9-4,15.1,16,2018
Wisconsin Badgers,8-5,11.8,24,2018
Michigan State Spartans,7-6,9.8,32,2018
Northwestern Wildcats,9-5,7.7,37,2018
Purdue Boilermakers,6-7,6.9,40,2018
Minnesota Golden Gophers,7-6,5.2,48,2018
Maryland Terrapins,5-7,4.6,50,2018
Nebraska Cornhuskers,4-8,3.1,57,2018
Indiana Hoosiers,5-7,1.9,63,2018
Illinois Fighting Illini,4-8,-8.5,98,2018
Rutgers Scarlet Knights,1-11,-10.4,100,2018
Ohio State Buckeyes,12-2,26.9,2,2017
Penn State Nittany Lions,11-2,25.0,4,2017
Wisconsin Badgers,13-1,21.7,7,2017
Iowa Hawkeyes,8-5,11.6,23,2017
Michigan Wolverines,8-5,11.2,24,2017
Northwestern Wildcats,10-3,9.9,27,2017
Michigan State Spartans,10-3,8.0,32,2017
Purdue Boilermakers,7-6,3.9,48,2017
Indiana Hoosiers,5-7,3.7,49,2017
Minnesota Golden Gophers,5-7,-0.2,66,2017
Nebraska Cornhuskers,4-8,-2.1,70,2017
