Team,Year,Conference,PD,W,L,FPI,RK,Capacity
Alabama Crimson Tide,2011,SEC,347,12,1,30.2,1,"101,821"
Alabama Crimson Tide,2012,SEC,389,13,1,30.6,1,"101,821"
Alabama Crimson Tide,2010,SEC,286,10,3,26.2,3,"101,821"
Alabama Crimson Tide,2014,SEC,299,12,2,26.8,2,"101,821"
Alabama Crimson Tide,2015,SEC,339,14,1,27.4,1,"101,821"
Alabama Crimson Tide,2016,SEC,429,14,1,31.2,1,"101,821"
Alabama Crimson Tide,2013,SEC,315,11,2,28.9,2,"101,821"
Alabama Crimson Tide,2020,SEC,378,13,0,35.9,1,"101,821"
Alabama Crimson Tide,2017,SEC,381,13,1,28.4,1,"101,821"
Alabama Crimson Tide,2018,SEC,491,14,1,30.1,2,"101,821"
Alabama Crimson Tide,2019,SEC,388,11,2,29.4,4,"101,821"
Arizona State Sun Devils,2010,PAC12,91,6,6,10.3,34,"56,037"
Arizona State Sun Devils,2011,PAC12,59,6,7,11.3,24,"56,037"
Arizona State Sun Devils,2012,PAC12,183,8,5,13,22,"56,037"
Arizona State Sun Devils,2018,PAC12,88,7,6,6.7,41,"56,037"
Arizona State Sun Devils,2019,PAC12,45,8,5,6,43,"56,037"
Arizona State Sun Devils,2013,PAC12,183,10,4,21.9,8,"56,037"
Arizona State Sun Devils,2014,PAC12,141,10,3,14.2,24,"56,037"
Arizona State Sun Devils,2015,PAC12,56,6,7,9.7,37,"56,037"
Arizona State Sun Devils,2016,PAC12,-78,5,7,0.4,70,"56,037"
Arizona State Sun Devils,2017,PAC12,39,7,6,4.1,47,"56,037"
Arizona State Sun Devils,2020,PAC12,68,2,2,12,23,"56,037"
Arizona Wildcats,2016,PAC12,-163,3,9,-2.5,79,"56,232"
Arizona Wildcats,2017,PAC12,128,7,6,5.3,43,"56,232"
Arizona Wildcats,2014,PAC12,126,10,4,14.1,25,"56,232"
Arizona Wildcats,2015,PAC12,58,7,6,5.6,54,"56,232"
Arizona Wildcats,2010,PAC12,70,7,6,10.8,29,"56,232"
Arizona Wildcats,2011,PAC12,-56,4,8,4.2,50,"56,232"
Arizona Wildcats,2012,PAC12,37,8,5,6.9,46,"56,232"
Arizona Wildcats,2013,PAC12,120,8,5,13.2,26,"56,232"
Arizona Wildcats,2019,PAC12,-106,4,8,-2.4,72,"56,232"
Arizona Wildcats,2020,PAC12,-112,0,5,-7.1,98,"56,232"
Arizona Wildcats,2018,PAC12,-15,5,7,1.9,64,"56,232"
Arkansas Razorbacks,2019,SEC,-185,2,10,-7,91,"72,000"
Arkansas Razorbacks,2017,SEC,-89,4,8,-1.4,69,"72,000"
Arkansas Razorbacks,2018,SEC,-157,2,10,-5.2,91,"72,000"
Arkansas Razorbacks,2010,SEC,176,10,3,19.5,9,"72,000"
Arkansas Razorbacks,2011,SEC,189,11,2,16.6,12,"72,000"
Arkansas Razorbacks,2012,SEC,-83,4,8,3.1,59,"72,000"
Arkansas Razorbacks,2013,SEC,-121,3,9,-0.7,71,"72,000"
Arkansas Razorbacks,2014,SEC,172,7,6,17.5,17,"72,000"
Arkansas Razorbacks,2015,SEC,134,8,5,17.4,14,"72,000"
Arkansas Razorbacks,2016,SEC,25,7,6,6.3,50,"72,000"
Arkansas Razorbacks,2020,SEC,-92,3,7,2.8,56,"72,000"
Auburn Tigers,2018,SEC,167,8,5,16,12,"87,451"
Auburn Tigers,2019,SEC,209,9,4,21.3,10,"87,451"
Auburn Tigers,2020,SEC,4,6,5,13.3,19,"87,451"
Auburn Tigers,2010,SEC,246,14,0,22.7,7,"87,451"
Auburn Tigers,2011,SEC,-42,8,5,4.1,51,"87,451"
Auburn Tigers,2012,SEC,-116,3,9,0.3,67,"87,451"
Auburn Tigers,2013,SEC,207,12,2,19.9,12,"87,451"
Auburn Tigers,2017,SEC,249,10,4,21.6,9,"87,451"
Auburn Tigers,2014,SEC,148,8,5,21.9,8,"87,451"
Auburn Tigers,2015,SEC,29,7,6,13,30,"87,451"
Auburn Tigers,2016,SEC,219,8,5,19.3,11,"87,451"
Baylor Bears,2015,BIG12,295,10,3,21.8,6,"50,000"
Baylor Bears,2020,BIG12,-53,2,7,4.7,47,"50,000"
Baylor Bears,2011,BIG12,105,10,3,12,22,"50,000"
Baylor Bears,2012,BIG12,94,8,5,15.1,19,"50,000"
Baylor Bears,2013,BIG12,375,11,2,25.5,4,"50,000"
Baylor Bears,2010,BIG12,9,7,6,3.2,60,"50,000"
Baylor Bears,2016,BIG12,85,7,6,8.9,39,"50,000"
Baylor Bears,2017,BIG12,-139,1,11,-4.3,81,"50,000"
Baylor Bears,2018,BIG12,10,7,6,2.5,61,"50,000"
Baylor Bears,2014,BIG12,337,11,2,23.9,6,"50,000"
Baylor Bears,2019,BIG12,220,11,3,14.1,17,"50,000"
Boston College Eagles,2011,ACC,-64,4,8,-0.5,75,"44,500"
Boston College Eagles,2012,ACC,-118,2,10,-2.6,77,"44,500"
Boston College Eagles,2013,ACC,-16,7,6,2.5,63,"44,500"
Boston College Eagles,2010,ACC,-15,7,6,3.3,59,"44,500"
Boston College Eagles,2015,ACC,23,3,9,1.5,75,"44,500"
Boston College Eagles,2016,ACC,-30,7,6,-1.1,75,"44,500"
Boston College Eagles,2017,ACC,64,7,6,7.2,35,"44,500"
Boston College Eagles,2014,ACC,89,7,6,6,51,"44,500"
Boston College Eagles,2019,ACC,-3,6,7,-1.5,69,"44,500"
Boston College Eagles,2020,ACC,-6,6,5,2.9,54,"44,500"
Boston College Eagles,2018,ACC,76,7,5,7.9,36,"44,500"
California Golden Bears,2015,PAC12,130,8,5,14,25,"62,717"
California Golden Bears,2013,PAC12,-275,1,11,-7.9,97,"62,717"
California Golden Bears,2014,PAC12,-18,5,7,6.5,47,"62,717"
California Golden Bears,2010,PAC12,0,5,7,9.2,36,"62,717"
California Golden Bears,2011,PAC12,54,7,6,10.1,30,"62,717"
California Golden Bears,2012,PAC12,-121,3,9,1.8,62,"62,717"
California Golden Bears,2017,PAC12,-8,5,7,2,55,"62,717"
California Golden Bears,2018,PAC12,25,7,6,4.2,52,"62,717"
California Golden Bears,2019,PAC12,11,8,5,3.5,52,"62,717"
California Golden Bears,2016,PAC12,-66,5,7,4.4,58,"62,717"
California Golden Bears,2020,PAC12,-25,1,3,3.5,51,"62,717"
Clemson Tigers,2014,ACC,190,10,3,16.5,20,"81,500"
Clemson Tigers,2015,ACC,314,14,1,22.3,5,"81,500"
Clemson Tigers,2016,ACC,349,14,1,27.6,2,"81,500"
Clemson Tigers,2020,ACC,280,10,2,26.9,3,"81,500"
Clemson Tigers,2010,ACC,68,6,7,10.4,31,"81,500"
Clemson Tigers,2011,ACC,60,10,4,8.3,34,"81,500"
Clemson Tigers,2012,ACC,210,11,2,17.2,14,"81,500"
Clemson Tigers,2013,ACC,234,11,2,20,11,"81,500"
Clemson Tigers,2017,ACC,300,12,2,24.2,5,"81,500"
Clemson Tigers,2018,ACC,486,15,0,32.7,1,"81,500"
Clemson Tigers,2019,ACC,521,14,1,31.5,2,"81,500"
Colorado Buffaloes,2017,PAC12,-21,5,7,-0.5,67,"53,750"
Colorado Buffaloes,2010,BIG12,-74,5,7,0.5,67,"53,750"
Colorado Buffaloes,2018,PAC12,-2,5,7,0.2,69,"53,750"
Colorado Buffaloes,2019,PAC12,-100,5,7,-1.6,70,"53,750"
Colorado Buffaloes,2020,PAC12,-19,4,2,1.8,59,"53,750"
Colorado Buffaloes,2014,PAC12,-126,2,10,-1,75,"53,750"
Colorado Buffaloes,2011,PAC12,-218,3,10,-5.6,84,"53,750"
Colorado Buffaloes,2012,PAC12,-338,1,11,-18.6,121,"53,750"
Colorado Buffaloes,2013,PAC12,-154,4,8,-5.7,90,"53,750"
Colorado Buffaloes,2015,PAC12,-37,4,9,-0.7,82,"53,750"
Colorado Buffaloes,2016,PAC12,169,10,4,14.2,19,"53,750"
Duke Blue Devils,2010,ACC,-122,3,9,-4,79,"40,004"
Duke Blue Devils,2012,ACC,-58,6,7,-1.7,73,"40,004"
Duke Blue Devils,2013,ACC,86,10,4,6.5,48,"40,004"
Duke Blue Devils,2014,ACC,174,9,4,7.7,42,"40,004"
Duke Blue Devils,2011,ACC,-104,3,9,-6.1,86,"40,004"
Duke Blue Devils,2016,ACC,-58,4,8,1.6,65,"40,004"
Duke Blue Devils,2017,ACC,96,7,6,6.6,37,"40,004"
Duke Blue Devils,2018,ACC,55,8,5,6.4,43,"40,004"
Duke Blue Devils,2015,ACC,121,8,5,5.1,61,"40,004"
Duke Blue Devils,2020,ACC,-146,2,9,-7.3,99,"40,004"
Duke Blue Devils,2019,ACC,-45,5,7,-0.3,64,"40,004"
Florida Gators,2011,SEC,67,7,6,10.7,26,"88,548"
Florida Gators,2012,SEC,156,11,2,19,12,"88,548"
Florida Gators,2010,SEC,111,8,5,15.9,17,"88,548"
Florida Gators,2014,SEC,130,7,5,15.7,22,"88,548"
Florida Gators,2015,SEC,110,10,4,13.2,29,"88,548"
Florida Gators,2016,SEC,96,9,4,13.8,22,"88,548"
Florida Gators,2013,SEC,-27,4,8,9.8,36,"88,548"
Florida Gators,2020,SEC,108,8,4,17.4,11,"88,548"
Florida Gators,2017,SEC,-57,4,7,3.6,50,"88,548"
Florida Gators,2018,SEC,210,10,3,17.1,11,"88,548"
Florida Gators,2019,SEC,259,11,2,21.3,9,"88,548"
Florida State Seminoles,2010,ACC,162,10,4,17.2,13,"82,300"
Florida State Seminoles,2011,ACC,202,9,4,15.3,15,"82,300"
Florida State Seminoles,2012,ACC,344,12,2,22.7,5,"82,300"
Florida State Seminoles,2018,ACC,-115,5,7,0.9,67,"82,300"
Florida State Seminoles,2019,ACC,21,6,7,4,51,"82,300"
