Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2005,Alabama,6,1,222,,,31.7142857142857,,81018
2005,Arizona,2,4,158,143,15,26.3333333333333,23.8333333333333,53779.3333333333
2005,Arkansas,3,3,188,118,70,31.3333333333333,19.6666666666667,63678.3333333333
2005,Arkansas State,4,0,218,,,54.5,,15239.75
2005,Baylor,2,3,196,,,39.2,,38898.6
2005,Boise State,6,1,303,137,166,43.2857142857143,19.5714285714286,30111.5714285714
2005,Boston College,5,1,192,92,100,32,15.3333333333333,39428.6666666667
2005,Buffalo,0,5,208,89,119,41.6,17.8,8914.4
2005,BYU,3,3,247,157,90,41.1666666666667,26.1666666666667,58203.6666666667
2005,California,4,1,176,119,57,29.3333333333333,19.8333333333333,60377.1666666667
2005,Clemson,4,2,192,114,78,32,19,78231.8333333333
2005,Colorado,5,0,196,73,123,39.2,14.6,49524.2
2005,FIU,4,1,158,91,67,31.6,18.2,15477
2005,Florida State,5,1,201,102,99,33.5,17,82723.8333333333
2005,Georgia Tech,4,2,180,81,99,30,13.5,51607.3333333333
2005,Hawaii,3,4,243,264,-21,34.7142857142857,37.7142857142857,32734.5714285714
2005,Illinois,2,4,142,252,-110,23.6666666666667,42,47852.1666666667
2005,Indiana,3,3,154,182,-28,25.6666666666667,30.3333333333333,39535.6666666667
2005,Iowa State,5,1,180,90,90,30,15,46705.3333333333
2005,Kansas,4,0,113,44,69,28.25,11,41868.75
2005,Kansas State,4,2,185,112,73,30.8333333333333,18.6666666666667,45961.1666666667
2005,Kent State,1,4,151,67,84,30.2,13.4,6658.4
2005,Louisiana,2,2,,,,,,17654
2005,Louisiana Tech,0,1,13,30,-17,13,30,16281
2005,Marshall,3,3,144,138,6,24,23,26510.3333333333
2005,Memphis,4,2,220,98,122,36.6666666666667,16.3333333333333,39991
2005,Miami (OH),2,2,156,116,40,39,29,14260
2005,Michigan State,3,3,204,157,47,34,26.1666666666667,75182.8333333333
2005,Missouri,4,2,206,181,25,34.3333333333333,30.1666666666667,53363.5
2005,NC State,4,2,145,95,50,24.1666666666667,15.8333333333333,52296
2005,Nebraska,5,1,217,,,36.1666666666667,,77493.1666666667
2005,Nevada,5,1,229,179,50,38.1666666666667,29.8333333333333,15076.3333333333
2005,New Mexico,2,3,135,147,-12,27,29.4,38341.4
2005,Northern Illinois,4,1,163,76,87,32.6,15.2,22176
2005,Northwestern,4,2,201,193,8,33.5,32.1666666666667,32527.1666666667
2005,Notre Dame,4,2,238,153,85,39.6666666666667,25.5,80795
2005,Ohio,3,2,183,101,82,36.6,20.2,18033.4
2005,Oklahoma,5,1,199,127,72,33.1666666666667,21.1666666666667,84330.6666666667
2005,Ole Miss,2,3,81,79,2,16.2,15.8,53161
2005,Oregon State,3,3,185,163,22,30.8333333333333,27.1666666666667,42190
2005,Penn State,7,0,234,93,141,33.4285714285714,13.2857142857143,104859
2005,Rutgers,4,2,195,137,58,32.5,22.8333333333333,33183.5
2005,San Diego State,3,3,182,166,16,30.3333333333333,27.6666666666667,36223.1666666667
2005,SMU,2,4,233,125,108,38.8333333333333,20.8333333333333,18292
