Team,Year,W,L,FPI,Conference,PD,Attendance,capacity
Alabama,2005,10,2,0.668624411163313,SEC,0.475942217543112,81018,101821
Alabama,2006,6,7,0.00826463782661865,SEC,0.291082360175718,92138,101821
Alabama,2007,7,6,0.0495371236601621,SEC,0.0199545693702069,92138,101821
Alabama,2008,12,2,0.957531811998117,SEC,1.11678972308341,92138,101821
Alabama,2009,14,0,1.61789158533481,SEC,1.35094554241544,92012,101821
Alabama,2010,10,3,1.8448902574193,SEC,1.46186145683588,101821,101821
Alabama,2011,12,1,2.25761511575473,SEC,1.62207333322096,101909,101821
Alabama,2012,13,1,2.29888760158828,SEC,1.85622915255299,101721.714285714,101821
Alabama,2013,11,2,2.12347953679572,SEC,2.32454079121705,101505.428571429,101821
Alabama,2014,12,2,1.90679898616962,SEC,1.35094554241544,101738.333333333,101821
Alabama,2015,14,1,1.96870771491993,SEC,0.944253856207177,101285.142857143,101821
Alabama,2016,14,1,2.36079633033859,SEC,1.93017309549995,101821,101821
Alabama,2017,13,1,2.07188892950379,SEC,1.20305765652153,101821,101821
Alabama,2018,14,1,2.24729699429635,SEC,2.10270896237618,101561.571428571,101821
Arizona,2005,3,8,-0.39414209905043,PAC12,-0.559272983714295,53779.3333333333,51811
Arizona,2006,6,6,-0.198097791341098,PAC12,-1.03990861286952,55798.4285714286,51811
Arizona,2007,5,7,0.0804914880353195,PAC12,0.0322785598613665,52160.5,51811
Arizona,2008,8,5,0.668624411163313,PAC12,1.17840967553921,52440,51811
Arizona,2009,8,5,0.121763973868863,PAC12,0.365026303122676,51493.4,51811
Arizona,2010,7,6,0.255899552827879,PAC12,0.22946240771992,55267.3333333333,51811
Arizona,2011,4,8,-0.425096463425587,PAC12,-0.620892936170093,48877.6666666667,51811
Arizona,2012,8,5,-0.146507184049169,PAC12,0.944253856207177,47931.375,51811
Arizona,2013,8,5,0.50353446782914,PAC12,0.303406350666878,47618.8333333333,51811
Arizona,2014,10,4,0.596397560954612,PAC12,0.24178639821108,50710.4285714286,51811
Arizona,2015,7,6,-0.280642763008185,PAC12,0.266434379193399,51888.6,51811
Arizona,2016,3,9,-1.11641060113744,PAC12,-1.23709246072807,48288.1428571429,51811
Arizona,2017,7,6,-0.311597127383343,PAC12,0.340378322140357,42631.8333333333,51811
Arizona,2018,5,7,-0.662413256968462,PAC12,0.0569265408436857,45435.8571428571,51811
