Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2000,Illinois,4,2,177,115,62,29.5,19.1666666666667,55977.6666666667
2000,Indiana,1,2,102,90,12,34,30,30231.6666666667
2000,Michigan State,4,2,148,119,29,24.6666666666667,19.8333333333333,74023
2000,Northwestern,5,1,268,170,98,44.6666666666667,28.3333333333333,34342.1666666667
2000,Penn State,4,2,255,105,150,42.5,17.5,95476
2000,Wisconsin,4,3,255,155,100,36.4285714285714,22.1428571428571,78710.5714285714
2001,Illinois,6,0,192,127,65,32,21.1666666666667,54949
2001,Indiana,3,3,149,133,16,24.8333333333333,22.1666666666667,32605.1666666667
2001,Michigan State,4,2,212,159,53,35.3333333333333,26.5,73715.3333333333
2001,Northwestern,2,3,143,183,-40,28.6,36.6,34743
2001,Penn State,3,3,249,,,41.5,,107576.166666667
2001,Wisconsin,3,4,181,208,-27,25.8571428571429,29.7142857142857,78333.4285714286
2002,Illinois,3,3,221,158,63,36.8333333333333,26.3333333333333,55198.6666666667
2002,Indiana,3,3,224,193,31,37.3333333333333,32.1666666666667,31248
2002,Michigan State,3,5,299,203,96,37.375,25.375,73942
2002,Northwestern,2,4,144,206,-62,24,34.3333333333333,28035
2002,Penn State,7,1,314,118,196,39.25,14.75,107238.875
2002,Wisconsin,4,3,203,169,34,29,24.1428571428571,78435.1428571429
2003,Illinois,1,5,138,226,-88,23,37.6666666666667,50961
2003,Indiana,2,4,177,117,60,29.5,19.5,34983.3333333333
2003,Michigan State,5,2,201,119,82,28.7142857142857,17,72830.1428571429
2003,Northwestern,2,4,95,163,-68,15.8333333333333,27.1666666666667,28771.3333333333
2003,Penn State,3,4,,,,,,105629
2003,Wisconsin,4,3,255,145,110,36.4285714285714,20.7142857142857,78486.2857142857
2004,Illinois,2,4,158,165,-7,26.3333333333333,27.5,48154.8333333333
2004,Indiana,2,3,123,118,5,24.6,23.6,28377.4
2004,Michigan State,4,2,205,136,69,34.1666666666667,22.6666666666667,73602.1666666667
2004,Northwestern,5,1,146,129,17,24.3333333333333,21.5,28408.1666666667
2004,Penn State,3,3,252,,,42,,103110.833333333
2004,Wisconsin,6,0,154,45,109,25.6666666666667,7.5,82368.1666666667
2005,Illinois,2,4,142,252,-110,23.6666666666667,42,47852.1666666667
2005,Indiana,3,3,154,182,-28,25.6666666666667,30.3333333333333,39535.6666666667
2005,Michigan State,3,3,204,157,47,34,26.1666666666667,75182.8333333333
2005,Northwestern,4,2,201,193,8,33.5,32.1666666666667,32527.1666666667
2005,Penn State,7,0,234,93,141,33.4285714285714,13.2857142857143,104859
2005,Wisconsin,5,1,226,126,100,37.6666666666667,21,82551.3333333333
2006,Illinois,1,6,225,165,60,32.1428571428572,23.5714285714286,43445.4285714286
2006,Indiana,3,4,265,164,101,37.8571428571429,23.4285714285714,33063.2857142857
2006,Michigan State,2,5,228,134,94,32.5714285714286,19.1428571428571,70818.7142857143
2006,Northwestern,2,4,116,182,-66,19.3333333333333,30.3333333333333,27995.5
2006,Penn State,6,1,204,68,136,29.1428571428571,9.71428571428571,107567.285714286
2006,Wisconsin,7,0,215,61,154,30.7142857142857,8.71428571428571,81368
2007,Illinois,5,1,165,112,53,27.5,18.6666666666667,54938.1666666667
2007,Indiana,5,2,246,158,88,35.1428571428571,22.5714285714286,37003.5714285714
2007,Michigan State,5,2,252,182,70,36,26,70539.8571428572
2007,Northwestern,4,3,190,183,7,27.1428571428571,26.1428571428571,24589.2857142857
2007,Penn State,6,1,243,104,139,34.7142857142857,14.8571428571429,108891.285714286
2007,Wisconsin,7,0,255,126,129,36.4285714285714,18,81746.7142857143
2008,Illinois,4,2,189,132,57,31.5,22,61707.1666666667
2008,Indiana,3,5,294,216,78,36.75,27,31781.875
2008,Michigan State,6,1,218,66,152,31.1428571428571,9.42857142857143,74857.8571428572
2008,Northwestern,5,2,184,143,41,26.2857142857143,20.4285714285714,28590.2857142857
2008,Penn State,7,0,323,93,230,46.1428571428572,13.2857142857143,108253.857142857
2008,Wisconsin,5,2,278,143,135,39.7142857142857,20.4285714285714,81088
