Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2000,Alabama,2,0,72,24,48,36,12,83818
2000,Arkansas,5,2,201,137,64,28.7142857142857,19.5714285714286,50778.8571428571
2000,Ole Miss,5,1,234,152,82,39,25.3333333333333,47309
2001,Alabama,2,3,117,117,0,23.4,23.4,83818
2001,Arkansas,6,0,159,94,65,26.5,15.6666666666667,59077.3333333333
2002,Alabama,4,2,155,79,76,25.8333333333333,13.1666666666667,83151.3333333333
2002,Arkansas,6,2,228,141,87,28.5,17.625,60752.375
2002,Ole Miss,5,1,214,117,97,35.6666666666667,19.5,56563.3333333333
2003,Alabama,2,3,76,86,-10,15.2,17.2,83818
2003,Arkansas,5,2,235,95,140,33.5714285714286,13.5714285714286,63588
2003,Ole Miss,5,1,264,138,126,44,23,55501.5
2004,Alabama,5,1,188,61,127,31.3333333333333,10.1666666666667,81545.6666666667
2004,Arkansas,4,2,202,109,93,33.6666666666667,18.1666666666667,64876
2004,Ole Miss,3,3,118,123,-5,19.6666666666667,20.5,58372.8333333333
2005,Alabama,0,1,13,16,-3,13,16,81018
2005,Arkansas,3,3,188,118,70,31.3333333333333,19.6666666666667,63678.3333333333
2005,Ole Miss,2,3,81,79,2,16.2,15.8,53161
2006,Alabama,0,2,31,46,-15,15.5,23,92138
2006,Arkansas,5,2,236,115,121,33.7142857142857,16.4285714285714,68562
2006,Ole Miss,2,3,74,99,-25,14.8,19.8,54246.8
2007,Alabama,1,3,112,105,7,28,26.25,92138
2007,Arkansas,6,2,333,176,157,41.625,22,66032.5
2007,Ole Miss,2,3,119,143,-24,23.8,28.6,45404.2
2008,Alabama,7,0,205,54,151,29.2857142857143,7.71428571428571,92138
2008,Arkansas,3,3,131,187,-56,21.8333333333333,31.1666666666667,68739.6666666667
2008,Ole Miss,5,1,220,72,148,36.6666666666667,12,53292.5
2009,Alabama,7,0,229,59,170,32.7142857142857,8.42857142857143,92012
2009,Arkansas,6,1,327,169,158,46.7142857142857,24.1428571428571,65111.8571428572
2009,Ole Miss,5,1,213,89,124,35.5,14.8333333333333,54769.3333333333
2010,Alabama,6,1,246,67,179,35.1428571428571,9.57142857142857,101821
2010,Arkansas,6,1,271,116,155,38.7142857142857,16.5714285714286,67042.2857142857
2010,Ole Miss,0,3,68,110,-42,22.6666666666667,36.6666666666667,57255.3333333333
2011,Alabama,6,1,249,57,192,35.5714285714286,8.14285714285714,101909
2011,Arkansas,7,0,316,104,212,45.1428571428572,14.8571428571429,66990.4285714286
2011,Ole Miss,0,5,64,149,-85,12.8,29.8,55406.4
2012,Alabama,6,1,268,57,211,38.2857142857143,8.14285714285714,101721.714285714
2012,Arkansas,3,4,187,187,0,26.7142857142857,26.7142857142857,67718.8571428572
2012,Missouri,3,4,191,173,18,27.2857142857143,24.7142857142857,67476.1428571429
2012,Ole Miss,0,3,84,123,-39,28,41,59237.3333333333
2012,Texas A&M,3,2,212,115,97,42.4,23,87128.2
2013,Alabama,7,0,285,36,249,40.7142857142857,5.14285714285714,101505.428571429
2013,Arkansas,3,4,163,194,-31,23.2857142857143,27.7142857142857,61596.2857142857
2013,Missouri,6,0,232,97,135,38.6666666666667,16.1666666666667,62901.3333333333
2013,Ole Miss,0,2,48,65,-17,24,32.5,61059
2013,Texas A&M,6,2,406,238,168,50.75,29.75,87125.375
2014,Alabama,6,0,281,111,170,46.8333333333333,18.5,101738.333333333
2014,Arkansas,5,2,262,97,165,37.4285714285714,13.8571428571429,64869
2014,Ole Miss,1,1,79,35,44,39.5,17.5,61318
2014,Texas A&M,3,3,196,121,75,32.6666666666667,20.1666666666667,105122.5
2015,Alabama,6,1,240,103,137,34.2857142857143,14.7142857142857,101285.142857143
2015,Arkansas,2,3,197,143,54,39.4,28.6,65355
2015,Missouri,3,3,91,90,1,15.1666666666667,15,65120
2015,Ole Miss,5,1,303,99,204,50.5,16.5,60441.6666666667
2015,Texas A&M,5,2,239,179,60,34.1428571428571,25.5714285714286,103622
2016,Alabama,7,0,265,48,217,37.8571428571429,6.85714285714286,101821
2016,Arkansas,5,2,220,160,60,31.4285714285714,22.8571428571429,69581
2016,Missouri,4,3,287,176,111,41,25.1428571428571,52235.8571428572
2016,Ole Miss,0,3,92,143,-51,30.6666666666667,47.6666666666667,66047
2016,Texas A&M,4,2,240,127,113,40,21.1666666666667,101195
2017,Alabama,5,0,207,49,158,41.4,9.8,101821
2017,Arkansas,3,3,178,177,1,29.6666666666667,29.5,63006.6666666667
2017,Missouri,4,3,265,214,51,37.8571428571429,30.5714285714286,51489.8571428572
2017,Texas A&M,4,3,208,170,38,29.7142857142857,24.2857142857143,98801.7142857143
2018,Alabama,7,0,323,92,231,46.1428571428572,13.1428571428571,101561.571428571
2018,Arkansas,2,4,174,198,-24,29,33,61291.3333333333
2018,Missouri,5,2,270,146,124,38.5714285714286,20.8571428571429,51465.8571428572
2018,Texas A&M,5,1,232,103,129,38.6666666666667,17.1666666666667,99567.8333333333
