Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2000,Alabama,2,0,72,24,48,36,12,83818
2000,Arkansas,5,2,267,107,160,38.1428571428572,15.2857142857143,50778.8571428571
2000,Ole Miss,5,1,234,152,82,39,25.3333333333333,47309
2001,Alabama,2,3,117,117,0,23.4,23.4,83818
2001,Arkansas,6,0,159,94,65,26.5,15.6666666666667,59077.3333333333
2002,Alabama,4,2,219,69,150,36.5,11.5,83151.3333333333
2002,Arkansas,6,2,228,141,87,28.5,17.625,60752.375
2002,Ole Miss,5,1,214,117,97,35.6666666666667,19.5,56563.3333333333
2003,Alabama,2,4,148,117,31,24.6666666666667,19.5,83818
2003,Arkansas,5,2,263,85,178,37.5714285714286,12.1428571428571,63588
2003,Ole Miss,5,1,264,138,126,44,23,55501.5
2004,Alabama,5,1,217,41,176,36.1666666666667,6.83333333333333,81545.6666666667
2004,Arkansas,4,2,202,109,93,33.6666666666667,18.1666666666667,64876
2004,Ole Miss,3,3,118,123,-5,19.6666666666667,20.5,58372.8333333333
2005,Alabama,6,1,222,,,31.7142857142857,,81018
2005,Arkansas,3,3,188,118,70,31.3333333333333,19.6666666666667,63678.3333333333
2005,Ole Miss,2,3,81,79,2,16.2,15.8,53161
2006,Alabama,6,2,204,120,84,25.5,15,92138
2006,Arkansas,6,2,260,138,122,32.5,17.25,69327.625
2006,Ole Miss,2,3,185,69,116,37,13.8,54246.8
2007,Alabama,4,3,235,173,62,33.5714285714286,24.7142857142857,92138
2007,Arkansas,6,2,405,,,50.625,,66032.5
2007,Ole Miss,2,3,195,103,92,39,20.6,45404.2
2008,Alabama,7,0,205,54,151,29.2857142857143,7.71428571428571,92138
2008,Arkansas,3,3,197,157,40,32.8333333333333,26.1666666666667,68739.6666666667
2008,Ole Miss,5,1,220,72,148,36.6666666666667,12,53292.5
2009,Alabama,7,0,229,59,170,32.7142857142857,8.42857142857143,92012
2009,Arkansas,6,1,327,169,158,46.7142857142857,24.1428571428571,65111.8571428572
2009,Ole Miss,5,1,242,69,173,40.3333333333333,11.5,54769.3333333333
2010,Alabama,6,1,246,67,179,35.1428571428571,9.57142857142857,101821
2010,Arkansas,6,1,271,116,155,38.7142857142857,16.5714285714286,67042.2857142857
2010,Ole Miss,2,4,213,232,-19,35.5,38.6666666666667,56357.5
2011,Alabama,6,1,312,,,44.5714285714286,,101909
2011,Arkansas,7,0,316,104,212,45.1428571428572,14.8571428571429,66990.4285714286
2011,Ole Miss,1,5,239,103,136,39.8333333333333,17.1666666666667,55922.6666666667
2012,Alabama,6,1,268,57,211,38.2857142857143,8.14285714285714,101721.714285714
2012,Arkansas,3,4,239,,,34.1428571428571,,67718.8571428572
2012,Missouri,3,4,191,173,18,27.2857142857143,24.7142857142857,67476.1428571429
2012,Ole Miss,3,3,202,184,18,33.6666666666667,30.6666666666667,57065.6666666667
2012,Texas A&M,3,2,212,115,97,42.4,23,87128.2
2013,Alabama,7,0,285,36,249,40.7142857142857,5.14285714285714,101505.428571429
2013,Arkansas,3,4,231,144,87,33,20.5714285714286,61596.2857142857
2013,Missouri,6,1,256,124,132,36.5714285714286,17.7142857142857,63504.5714285714
2013,Ole Miss,4,2,223,137,86,37.1666666666667,22.8333333333333,59098.3333333333
2013,Texas A&M,6,2,406,238,168,50.75,29.75,87125.375
2014,Alabama,7,0,,,,,,101533.714285714
2014,Arkansas,5,2,262,97,165,37.4285714285714,13.8571428571429,64869
2014,Ole Miss,6,1,247,90,157,35.2857142857143,12.8571428571429,61547
2014,Texas A&M,3,3,196,121,75,32.6666666666667,20.1666666666667,105122.5
2015,Alabama,6,1,240,103,137,34.2857142857143,14.7142857142857,101285.142857143
2015,Arkansas,3,3,251,189,62,41.8333333333333,31.5,66463.8333333333
2015,Missouri,3,3,280,,,46.6666666666667,,65120
2015,Ole Miss,5,1,303,99,204,50.5,16.5,60441.6666666667
2015,Texas A&M,5,2,239,179,60,34.1428571428571,25.5714285714286,103622
2016,Alabama,7,0,265,48,217,37.8571428571429,6.85714285714286,101821
2016,Arkansas,5,2,220,160,60,31.4285714285714,22.8571428571429,69581
2016,Missouri,4,3,287,176,111,41,25.1428571428571,52235.8571428572
2016,Ole Miss,4,3,260,225,35,37.1428571428572,32.1428571428572,64909.7142857143
2016,Texas A&M,5,2,285,165,120,40.7142857142857,23.5714285714286,101916.857142857
2017,Alabama,5,0,207,49,158,41.4,9.8,101821
2017,Arkansas,3,3,243,157,86,40.5,26.1666666666667,63006.6666666667
2017,Missouri,4,3,295,184,111,42.1428571428571,26.2857142857143,51489.8571428572
2017,Texas A&M,4,3,208,170,38,29.7142857142857,24.2857142857143,98801.7142857143
2018,Alabama,7,0,323,92,231,46.1428571428572,13.1428571428571,101561.571428571
2018,Arkansas,2,4,174,198,-24,29,33,61291.3333333333
2018,Missouri,5,2,270,146,124,38.5714285714286,20.8571428571429,51465.8571428572
2018,Texas A&M,6,1,306,175,131,43.7142857142857,25,99844
